                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2603,                 2.6071,                 3.1476,                 1.4138,                0.32492,                0.50579,                0.39695,                0.26866,                0.32913,                 0.4842,                0.39221,                0.25243,                 1.1227,                 2.2186,                 2.0219,                 1.3309,             0.00025488,             0.00025488,             0.00025488
                      2,                  1.104,                 1.9723,                 1.9362,                 1.2551,                0.58743,                0.57109,                0.59584,                0.42703,                0.60182,                0.55765,                0.57963,                0.37989,                 1.0238,                 2.0718,                 1.4936,                 1.2396,             0.00048591,             0.00048591,             0.00048591
                      3,                 1.0469,                 1.8522,                 1.6839,                 1.2072,                0.69705,                0.62283,                0.66627,                0.48564,                0.65084,                0.66005,                0.66284,                0.45482,                0.99708,                 1.8515,                 1.3413,                 1.1955,             0.00069156,             0.00069156,             0.00069156
                      4,                0.99457,                 1.7077,                 1.5076,                 1.1707,                0.70427,                0.69252,                0.72778,                 0.5275,                0.69915,                0.68806,                0.71861,                0.49818,                 1.0268,                 1.7293,                 1.2158,                 1.2067,              0.0006548,              0.0006548,              0.0006548
                      5,                0.94831,                 1.6239,                 1.3808,                 1.1403,                0.76589,                0.69259,                0.78301,                0.60796,                0.76782,                0.69178,                0.78088,                0.57897,                0.88978,                 1.5076,                 1.0601,                 1.1264,             0.00061674,             0.00061674,             0.00061674
                      6,                0.91582,                  1.548,                 1.2797,                 1.1195,                0.79806,                0.73423,                0.81377,                0.62291,                0.79296,                0.73603,                0.80737,                0.58273,                0.85832,                 1.5266,                 0.9839,                 1.1065,             0.00057867,             0.00057867,             0.00057867
                      7,                0.88604,                 1.4948,                 1.1669,                 1.0888,                0.82335,                0.82641,                0.87654,                0.68144,                0.82614,                0.82573,                0.87779,                0.66309,                0.85364,                 1.4745,                 0.8885,                 1.0845,             0.00054061,             0.00054061,             0.00054061
                      8,                0.85454,                 1.4332,                 1.1056,                 1.0779,                 0.8462,                 0.8307,                0.89196,                0.71504,                0.84831,                0.83242,                0.89206,                0.69308,                0.80527,                 1.3518,                0.81921,                 1.0609,             0.00050254,             0.00050254,             0.00050254
                      9,                0.85087,                 1.4111,                 1.0915,                 1.0724,                0.86047,                0.83192,                0.90389,                0.71562,                0.86439,                0.83542,                0.90538,                0.67949,                0.80853,                 1.3495,                0.78421,                 1.0609,             0.00046448,             0.00046448,             0.00046448
                     10,                0.82299,                 1.3695,                 1.0238,                 1.0616,                0.89396,                0.84834,                0.91544,                0.73783,                0.90035,                0.85331,                0.91699,                0.71348,                0.76408,                 1.2963,                0.72527,                 1.0446,             0.00042641,             0.00042641,             0.00042641
                     11,                0.77854,                 1.2485,                0.89918,                 1.0648,                0.87725,                0.83443,                 0.9082,                0.73954,                0.88506,                0.84182,                0.91142,                0.71745,                0.76463,                   1.24,                0.75391,                 1.0366,             0.00038835,             0.00038835,             0.00038835
                     12,                0.74252,                 1.1529,                0.80395,                 1.0312,                0.88696,                0.88706,                0.92572,                0.75272,                0.88865,                0.88874,                  0.927,                0.73635,                0.74834,                 1.2075,                0.66738,                 1.0257,             0.00035028,             0.00035028,             0.00035028
                     13,                0.71372,                 1.1215,                0.75182,                 1.0131,                0.90695,                0.86771,                0.93099,                0.75991,                0.90833,                0.87031,                0.93136,                0.75182,                0.73103,                 1.1873,                0.65586,                 1.0096,             0.00031221,             0.00031221,             0.00031221
                     14,                0.68873,                 1.0777,                0.72083,                 1.0024,                0.89636,                  0.898,                0.93126,                0.77462,                0.92408,                0.88273,                 0.9316,                 0.7635,                0.69854,                 1.1311,                0.63295,                0.98993,             0.00027415,             0.00027415,             0.00027415
                     15,                 0.6772,                 1.0355,                0.68921,                 1.0012,                0.93488,                0.87631,                0.93955,                0.78055,                0.93371,                0.88073,                0.93607,                0.76455,                0.69259,                 1.1264,                0.60205,                0.98844,             0.00023608,             0.00023608,             0.00023608
                     16,                0.65034,                 1.0189,                0.65275,                0.97925,                0.90927,                0.88947,                0.93724,                0.78709,                0.91145,                0.89546,                0.94172,                0.78068,                 0.6865,                 1.0912,                0.57903,                0.98415,             0.00019802,             0.00019802,             0.00019802
                     17,                0.64031,                0.97276,                0.62694,                0.97456,                0.88168,                0.91145,                0.93933,                0.78901,                 0.8811,                0.91167,                0.94065,                0.77498,                0.66781,                 1.0894,                0.57428,                 0.9764,             0.00015995,             0.00015995,             0.00015995
                     18,                0.62218,                0.95731,                0.61203,                0.96579,                0.93315,                0.88201,                0.94684,                0.79844,                0.93144,                0.88824,                0.94684,                0.78628,                0.66169,                 1.0584,                0.54948,                0.97185,             0.00012189,             0.00012189,             0.00012189
                     19,                0.61375,                0.93809,                0.59312,                0.95584,                0.91433,                0.90814,                0.94846,                0.80566,                0.92044,                0.90622,                0.95037,                0.79705,                0.64892,                 1.0319,                0.53548,                0.96061,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     20,                0.59919,                 0.9161,                 0.5764,                0.95509,                0.93881,                  0.885,                0.94629,                0.80703,                0.94138,                0.88688,                0.94766,                0.79338,                0.64042,                 1.0364,                 0.5292,                0.95978,             4.5756e-05,             4.5756e-05,             4.5756e-05
